ID,Nombre,Raza,Criador,Sexo,Color,Fecha de Nacimiento,ID_Madre,ID_Padre,Nombre Madre,Nombre Padre,Abuelo Paterno,Abuela Paterna,Abuelo Materno,Abuela Materna
06--40,VIENA TE FIV,GYR PURO,Marcelo Gonzalez,HEMBRA,ROJO,4/21/20,051-5,4010,TASMANIA KAMILA ,JAGUAR TE DO GAVIAO,UACAI JAGUAR,UMIDADE,KALIKA FIV VILA RICA,V.V ELSA (CASPER)
08--50,LISBOA TE FIV,GYR PURO,Marcelo Gonzalez,HEMBRA,ROJO Y BLANCO,5/28/20,129-111,420,EL TESORO ESMERALDA TE,LEXUS RIB GRANDE,MODELO TE BRASILIA,UVEDALIA CAL,VAIDOSO DA SILVANIA,GV NARANJAL(PODEROSO BTOR)
11--3,SOFIA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/6/13,301-6,711-5,ARAUCANIA BALOTO,CELESTE GVG,PODEROSO B.FEIT.CAL,EL VERGEL MARICRUZ 798-2,BENFEITOR,MANTIQUEIRA
102-34,VANIDOSA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,1/23/23,801-5,229-4,VANIDOSA DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),CARTAGO 500-0,MAMINA DE TOLEDO 602-3
106-39,EVITA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO ,1/12/23,821-5,219-4,PATRICIA DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ABUELA DESCONOCIDA
108-39,EMERITA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO  ,1/22/23,604-3,219-4,OJOS NEGROS DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG PITUFO 642-5 (PALADINO),ABUELA DESCONOCIDA
115-49,ELLI DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,1/29/24,1001-95,219-4,S.N DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,CARTAGO 500-0,S.N DE CANAAN 605-8
130-26,VITA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,3/15/22,13--8,229-4,OREJITA DE CANAAN,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
201-4R,RIBEIRA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO  ,2/7/24,603-99,625-39,SARDO DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GC 219-4 EMBU,LA PORRA DE CANAAN 60-3
206-4,CARIBEÑA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO SARDO,2/4/13,301-6,642-5,ARAUCANIA BALOTO,EL EMPEDRADO PITUFO,CA PALADINO,SEMOLA DE BRASILIA,BENFEITOR RAPOSO DA CAL,MANTIQUEIRA DE BRASIL
209-4,LA GIRO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO SARDO,2/26/13,702-6,711-5,SN DE CANAAN,CELESTE GVG,PODEROSO B.FEIT.CAL,MAXIMA DA CAL,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
210-24,ALANA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,2/3/22,205-4,229-4,SANSAO DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),EMPEDRADO PITUFO 642-5(PITUFO),RON BLANCO DE TOLEDO 207-4
211-14,RADIANTE DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,2/11/21,603-7,229-4,TAME DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),CARTAGO 500-0,RAMONA DE TOLEDO 601-3(PODEROSO)
230-24,AMALFI DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,2/13/22,209-4,229-4,GIRO DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GVG CELESTE 711-5 (PODEROSO),SN DE CANAAN 702-6
301-6,ARAUCANIA BALOTO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,3/2/06,1788,7481,MANTIQUEIRA DE BRASIL,BENFEITOR RAPOSO DA CAL,RAPOSO DA CAL,UMIDADE,GRADUADO DE BRASILIA,ILHA DE BRASILIA
310-2E,ESTER DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,3/4/22,1001-8,033-4,CANELA DE TOLEDO,ZARAGOZA T.E,EXPOENTE DE BRASILIA,HDV RADAR REBECA,GC 219-4 EMBU,SOFIA DE TOLEDO 11-3
310-4R,RABANO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,3/11/24,834-10,625-39,LIMA T.E FIV,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,JAGUAR TE DO GAVIAO,EL TESORO RUBI (RADAR X VAIDOSO)
330-4R,RARA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,3/21/24,11--3,625-39,SOFIA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
330-2E,EMPODERADA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,3/15/22,840-8,219-4,OREJITA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GC 219-4 EMBU,OREJITA DE CANAAN 13-8
401-6,CANELA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,4/15/16,02--2,711-5,JOSEFINA DE CANAAN,CELESTE GVG,PODEROSO B.FEIT.CAL,EL VERGEL MARICRUZ 798-2,CARTAGO 500-0,ABUELA DESCONOCIDA
406-34,VERA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,4/22/23,806-5,229-4,MIRIAM DE CANAAN,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
410-09,LETEIRA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,4/3/20,802-5,219-4,GURI DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,CARTAGO 500-0,LA GURI DE CANAAN 16-0
420-1F,FELICIDAD DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,4/29/21,1103-5,697,BALOTICO DE TOLEDO,FARDO MUTUM,RADAR DOS POCOES,DENGOSA T.E MUTUM,GVG PITUFO 642-5 (PALADINO),ARAUCANIA 301-6 BENFEITOR
430-1N,NATA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,4/29/21,201-4,7660,GUARUMERA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,BOMBAY 546-4(BENFEITOR),SANSAO 110-6 T5.E GVG
440-09,DALILA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,4/27/20,207-4,219-4,RON BLANCO DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,BOMBAY 546-4(BENFEITOR),SANSAO 110-6 T5.E GVG
500-31,SAMANTA T.E FIV,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,3/27/21,496-49,215,VIA LACTEA SAMIAT.E,ASTRO FIV CABO VERDE,RADAR DOS POCOES,DULCE T.E DE BRASILIA,FABULOSO DO BASA,NUIDADE FIV DO BASA
501-51,JULIANA T.E FIV,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,5/1/21,270-48,291,VIA LACTEA DIOMIRA T.E,JAGUAR TE DO GAVIAO,UACAI JAGUAR,UMIDADE,DIAMANTE TE BRASILIA,NISA FIV MUTUM
507-29,MATILDA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,5/20/22,310-3,219-4,CAROLINA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
510-1F,FETA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,5/1/21,819-5,697,MARIA DE TOLEDO,FARDO MUTUM,RADAR DOS POCOES,DENGOSA T.E MUTUM,GVG CELESTE 711-5 (PODEROSO),ABUELA DESCONOCIDA
540-1F,FARAGUA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO ,5/7/21,11--3,697,SOFIA DE TOLEDO,FARDO MUTUM,RADAR DOS POCOES,DENGOSA T.E MUTUM,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
540-3E,ELENA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,5/1/23,803-95,033-4,SN CANAAN ,ZARAGOZA T.E,EXPOENTE DE BRASILIA,HDV RADAR REBECA,CARTAGO 500-0,PITUFFA DE CANAAN 825-5(EVEREST)
560-09,GUARUMERITA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,5/29/20,201-4,219-4,GUARUMERA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,BOMBAY 546-4(BENFEITOR),SANSAO 110-6 T5.E GVG
603-99,SARDO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,6/26/19,60-3,219-4,LA PORRA DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG PITUFO 642-5 (PALADINO),ABUELA DESCONOCIDA
610-3,LA MOCHA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,6/7/13,0,711-5,GITANA DE CANAAN,CELESTE GVG,PODEROSO B.FEIT.CAL,MAXIMA DA CAL,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
610-14,BELLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,6/3/21,801-5,229-4,VANIDOSA DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),CARTAGO 500-0,MAMINA DE TOLEDO 602-3
620-04,MIREYA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,6/8/20,806-5,229-4,MIRIAM DE CANAAN,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
620-1L,LOLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,6/13/21,604-3,2094,OJOS NEGROS DE CANAAN,LIPE DE MUTUM,FARDO MUTUM,FECULA MUTUM,EMPEDRADO PITUFO 642-5(PITUFO),ABUELA DESCONOCIDA
620-2S,SAMIRA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,6/6/22,603-6,207-6,MOCHA DE TOLEDO,RANCHO LR SEÑOR,CA SANSAO,HDV CAMILA TABU TATI T.E,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
692-39,GINEBRA T.E FIV,GYR PURO,Marcelo Gonzalez,HEMBRA,ROJO,3/25/19,051-5,6097,TASMANIA KAMILA,GENGIS KHAN DE BRASILIA,CA SANSAO,SETIBA DE BRASILIA,KALIKA FIV VILA RICA,V.V ELSA (CASPER)
703-9,ZARAGOZA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,7/17/19,13--8,219-4,OREJITA DE CANAAN ,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ABUELA DESCONOCIDA
708-49,JAMAICA T.E FIV,GYR PURO,Marcelo Gonzalez,HEMBRA,ROJO Y BLANCO,4/1/19,051-5,291,TASMANIA KAMILA ,JAGUAR TE DO GAVIAO,UACAI JAGUAR,UMIDADE,KALIKA FIV VILA RICA,V.V ELSA (CASPER)
710-3E,EVANISTA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,7/2/23,1002-95,033-4,SN DE CANAAN,ZARAGOZA T.E,EXPOENTE DE BRASILIA,HDV RADAR REBECA,CARTAGO 500-0,SN DE CANAAN 05-3
803-95,MATUMBA DE TOLEDO,15/16,WALTER HABIB,HEMBRA,ROJO,8/18/19,825-5,219-4,PITUFA DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,EMPEDRADO PITUFO 642-5(PITUFO),SN SANTANDER 13-3
806-2R,RAMONA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,8/6/22,401-6,625-39,CANELA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),ABUELA DESCONOCIDA
807-99,LUCERO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,8/4/19,310-3,219-4,CAROLINA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
834-10,LIMA T.E FIV,GYR PURO,WALTER HABIB,HEMBRA,ROJO,1/15/20,928-4,291,EL TESORO RUBI,JAGUAR TE DO GAVIAO,UACAI JAGUAR,UMIDADE,EL EMPEDRADO RIACHUELO TE,EL TESORO ESMERALDA T.E
836-10,RUSIA T.E FIV,GYR PURO,Marcelo Gonzalez,HEMBRA,ROJO Y BLANCO,1/16/20,928-4,291,EL TESORO RUBI,JAGUAR TE DO GAVIAO,UACAI JAGUAR,UMIDADE,EL EMPEDRADO RIACHUELO TE,EL TESORO ESMERALDA T.E
840-8,NAWARA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,8/28/18,13--8,219-4,OREJITA DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ABUELA DESCONOCIDA
902-4T,TATIANA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/13/24,1110-99,6557,ORACION DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),GC 219-4 EMBU,SABRINA DE TOLEDO (PODEROSO-BENFEITOR)
903-6,ARAUQUITA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/5/16,11--3,3347,SOFIA DE TOLEDO,JERIPOT DE SANTA RITA,FIGURINO PARAISO DA CAL,IMPOTICA ALASKA 4547,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA BALOTO 301-6
905-3N,NATILLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/23,703-9,7660,MANTEQUILLA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,OREJA DE CANAAN 13-8
906-6,KATIRA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,9/20/16,13--3,642-5,LA MANCHA DE TOLEDO,EL EMPEDRADO PITUFO,CA PALADINO,SEMOLA DE BRASILIA,GVG CELESTE 711-5 (PODEROSO),LA VIEJA MANCHA 707-5
906-3N,NARDA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/23,1110-99,7660,ESPANTO DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,SABRINA DE TOLEDO (PODEROSO-BENFEITOR)
910-2R,RUANDA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,9/19/22,610-3,625-39,LA MOCHA,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),GITANA DE CANAAN
1001-4D,DARCY DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,10/3/24,807-99,9225,LUCERO DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,CAROLINA DE CANAAN 310-3
1002-4D,DIVAGIO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,10/10/24,803-95,9225,MATUMBA DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,PITUFFA DE CANAAN 825-5(EVEREST)
1005-3N,NIAGARA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,10/19/23,840-8,7660,OREJITA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,OREJA DE CANAAN 13-8
1101-3R,RAVELA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/18/23,906-6,625-39,KATIRA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,CARTAGO 500-0,CAROLINA DE CANAAN 310-3
1102-7,LECHERA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/28/17,03--2,500-0,SAMANTA DE CANAAN,CARTAGO 500-0,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,EMPEDRADO PITUFO 642-5(PITUFO),ABUELA DESCONOCIDA
1103-5,BALOTICO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/14/16,301-6,642-5,ARAUCANIA BALOTO,EL EMPEDRADO PITUFO,CA PALADINO,SEMOLA DE BRASILIA,BENFEITOR RAPOSO DA CAL,MANTEQUEIRA DE BRAS
1110-99,ORACION DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/9/19,800-4,219-4,SABRINA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
1115-04,OFELIA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/15/20,952-7,229-4,VOLADORA DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GC 219-4 EMBU,ALTIVA DE TOLEDO 208-4
1120-14,VAINILLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/8/21,806-5,229-4,MIRIAM DE CANAAN,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
1201-3R,RAQUEL DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,12/1/23,06--40,625-39,MAGO VIENA T.E,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,JAGUAR TE DO GAVIAO,TASMANIA KAMILA 051/5 (KALIKA)
1212-12,CHAPOLA DE TOLEDO,BRAHAMAN PURO,WALTER HABIB,HEMBRA,ROJO,12/30/21,223-18,476-28,CNA MISS PAOLA T.E,LUSITANIA,513/29 MAXMILLION,1242/N2 LUSITANIA TORGSON,LUSITANIA MR.MILLONARIO 1562/14,CNA MISS MARIA JOSE T.E 028/60
111-4R,RIVELINO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,1/21/24,440-09,625-39,DALILA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GC 219-4 EMBU,RON BLANCO DE TOLEDO 207-4
112-4S,SALSAO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,1/23/24,410-09,207-6,LETEIRA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GC 219-4 EMBU,GURI DE TOLEDO 802-5
320-4R,RIVALDO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,3/15/24,903-6,625-39,ARAUQUITA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,JERIPOT DE SANTA RITA,SOFIA DE TOLEDO 11-3
560-3E,EVANO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,5/1/23,803-95,033-4,MATUMBA DE TOLEDO,ZARAGOZA T.E,EXPOENTE DE BRASILIA,HDV RADAR REBECA,CARTAGO 500-0,MATUMBA DE CANAAN 825-5 (EVEREST)
801-3R,SARCO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,8/1/23,209-4,207-6,GIRO DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GVG CELESTE 711-5 (PODEROSO),SN CANAAN 702-6
901-3S,SOBERANO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/9/23,08--50,8554,MAGO LISBOA I.A,SOBERANO DE BRASILIA,CA SANSAO,SOJA DE BRASILIA,LEXUS RIB GRANDE (MODELO X UVEDALIA),EL TESORO ESMERALDA (VAIDOSO X PODEROSO)
901-4D,DANDI DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,9/3/24,703-9,9225,ZARAGOSA DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,OREJA DE CANAAN 13-8
902-3N,NEMECIO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/12/23,1102-7,7660,LECHERA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,CARTAGO 500-0,SAMANTA DE TOLEDO 03-2(PALADINO X EVEREST)
903-3N,NEBRASKA DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/18/23,206-4,7660,CARIBEÑA DE CANAAN,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GVG PITUFO 642-5 (PALADINO),ARAUCANIA 301-6 BENFEITOR
903-4T,TARSO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,9/26/24,1115-04,6557,OFELIA DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),ALVARO DE SANTA RITA,VOLADORA DE TOLEDO 952-7
907-3N,NAVAJO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/29/23,560-09,7660,GUARUMERITA 560-09,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,GUARUMERA DE CANAAN 201-4
1003-3T,TABU DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,10/11/23,1103-5,6557,BALOTICO DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),GVG PITUFO 642-5 (PALADINO),ARAUCANIA 301-6 BENFEITOR
1003-4R,RENATO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,10/23/24,209-4,625-39,LA GIRO DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),SN DE CANAAN 702-6
1110-3S,SAMSON DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,11/28/23,962-8,207-6,CAMILA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,CARTAGO 500-0,ABUELA DESCONOCIDA
1203-3S,SATURNO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,12/5/23,401-6,207-6,CANELA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GVG CELESTE 711-5 (PODEROSO),JOSEFINA DE CANAAN 02-2
1205-39,ELEONOR DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,12/10/23,965-8,219-4,SN DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,CARTAGO 500-0,ARAUCANIA 301-6 BENFEITOR
1207-39,ESTRELLA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,12/24/23,304-05,219-4,SN DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,VIRGILIO DE TOLEDO 301-67,SN DE CANAAN 605-8
1151-49,ELEONORA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,1/30/24,920-09,219-4,TREBOL DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GC 219-4 EMBU,TOPACIO DE CANAAN (PALADINO X SEMOLA)
02-3S,SANTA DE CANAAN ,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,12/14/22,292-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
06-3S,SELENA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,1/4/23,086-38,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
12-3S,SAMIRA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,4/3/23,122-58,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
14-3S,SAHAGUN DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,5/6/23,088-38,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
16-4S,SAMOA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO  ,2/7/24,319-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
18-4S,SINALOA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO ,3/2/24,292-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
20-4S,SANDIA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO  ,3/7/24,121-58,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,